customer_id,gender,city,age,membership,monthly_income,monthly_spending,visits_per_month,satisfaction_score,uses_mobile_app,discount_used,total_purchases,customer_value
1001,Male,Rajshahi,53.0,Premium,111179.0,34289.0,6,3.0,Yes,No,38,28508.23
1002,Female,Khulna,30.0,Basic,58764.0,34024.0,5,1.0,No,No,3,19661.8
1003,Male,Sylhet,49.0,Basic,92543.0,45675.0,4,,No,No,23,32335.49
1004,Male,,24.0,Premium,63714.0,7777.0,2,4.0,Yes,No,37,13937.76
1005,Male,Rajshahi,39.0,Standard,74835.0,32749.0,4,2.0,Yes,No,37,29540.32
1006,Female,Chittagong,45.0,Basic,91744.0,18338.0,10,1.0,No,No,10,14508.68
1007,Male,Rajshahi,19.0,Premium,74491.0,5491.0,10,7.0,Yes,No,10,8068.98
1008,Male,Chittagong,59.0,Basic,36589.0,30236.0,3,8.0,Yes,No,19,19586.15
1009,Male,Chittagong,23.0,Basic,61484.0,17599.0,10,7.0,Yes,No,17,16121.66
1010,Female,Rajshahi,45.0,Standard,100989.0,22508.0,1,5.0,No,No,21,19289.96
1011,Male,Khulna,45.0,Premium,54212.0,6051.0,8,1.0,No,No,14,6344.24
1012,Male,Chittagong,37.0,Premium,61525.0,24606.0,5,7.0,No,Yes,9,17787.17
1013,Male,Chittagong,47.0,Standard,65202.0,24699.0,13,7.0,No,Yes,46,26355.11
1014,Male,Rajshahi,28.0,Standard,50635.0,3876.0,4,9.0,No,No,1,7793.96
1015,Female,Chittagong,45.0,Premium,81208.0,35093.0,8,3.0,No,No,45,30372.86
1016,Male,Chittagong,42.0,Premium,,7142.0,7,,No,Yes,13,10462.82
1017,Female,Rajshahi,56.0,Standard,36711.0,18202.0,2,1.0,Yes,No,4,12067.64
1018,Female,Rajshahi,50.0,Basic,21420.0,42734.0,1,1.0,Yes,Yes,1,19507.81
1019,Female,Dhaka,18.0,Basic,114752.0,10079.0,12,4.0,Yes,Yes,49,18364.87
1020,Male,Khulna,44.0,Standard,18301.0,10987.0,11,9.0,Yes,Yes,40,19244.66
1021,Female,Khulna,30.0,Basic,63236.0,42567.0,4,6.0,Yes,Yes,32,35369.15
1022,Male,Chittagong,58.0,Standard,84235.0,31940.0,8,3.0,Yes,Yes,34,26148.81
1023,Female,Khulna,20.0,Basic,72240.0,40233.0,12,1.0,Yes,No,28,28591.57
1024,Female,Chittagong,56.0,Basic,83726.0,20019.0,2,4.0,No,Yes,31,17502.67
1025,Female,Dhaka,23.0,Premium,28492.0,49185.0,3,9.0,No,No,8,31264.36
1026,Female,Rajshahi,25.0,Premium,119279.0,21077.0,12,3.0,Yes,No,39,22962.45
1027,Female,Rajshahi,44.0,Basic,,29258.0,1,9.0,Yes,Yes,26,26663.36
1028,Female,,26.0,Basic,68336.0,24136.0,1,7.0,No,Yes,34,24816.08
1029,Female,Khulna,54.0,Premium,103314.0,11311.0,13,4.0,Yes,No,3,8421.1
1030,Female,Dhaka,50.0,Premium,44641.0,20214.0,3,3.0,Yes,Yes,12,14680.88
1031,Male,Khulna,59.0,Premium,52584.0,17098.0,11,10.0,No,Yes,1,11767.08
1032,Male,Khulna,41.0,Standard,50745.0,31251.0,5,5.0,Yes,No,44,28044.86
1033,Female,Dhaka,32.0,Basic,41093.0,40945.0,12,5.0,No,No,5,24499.63
1034,Female,Dhaka,49.0,Premium,84105.0,28945.0,3,3.0,Yes,Yes,30,22613.33
1035,Female,Dhaka,49.0,Basic,118199.0,28316.0,1,9.0,No,No,30,26984.61
1036,Male,Dhaka,41.0,Standard,69885.0,,1,4.0,No,Yes,17,18995.64
1037,Female,Rajshahi,,Standard,54631.0,11308.0,8,5.0,No,Yes,48,21794.84
1038,Male,Sylhet,,Premium,90991.0,8949.0,10,4.0,Yes,Yes,47,19374.4
1039,Male,Sylhet,56.0,Standard,22014.0,4150.0,11,5.0,No,No,23,10597.71
1040,Male,Dhaka,,Basic,29093.0,26944.0,12,7.0,Yes,No,15,21619.58
1041,Male,Sylhet,20.0,Premium,36070.0,37699.0,13,9.0,Yes,No,37,33805.62
1042,Male,Sylhet,54.0,Basic,53777.0,12204.0,13,7.0,Yes,No,21,14243.08
1043,Female,Dhaka,34.0,Basic,74958.0,4081.0,12,5.0,Yes,No,14,7645.3
1044,Female,Sylhet,19.0,Standard,100074.0,32305.0,14,,No,Yes,2,19036.31
1045,Female,,19.0,Standard,28729.0,19896.0,2,10.0,No,Yes,11,17127.36
1046,Female,Chittagong,45.0,Standard,117713.0,49175.0,13,7.0,Yes,Yes,39,39056.32
1047,Female,Chittagong,40.0,Standard,63017.0,10805.0,3,10.0,Yes,Yes,38,19149.73
1048,Male,Dhaka,54.0,Standard,84320.0,8237.0,2,5.0,No,No,34,16620.48
1049,Female,Rajshahi,49.0,Premium,45751.0,23056.0,3,3.0,Yes,Yes,38,22087.63
1050,Female,Dhaka,50.0,Basic,96069.0,48543.0,7,7.0,No,No,34,36838.38
1051,Male,Rajshahi,18.0,Basic,72748.0,48952.0,1,2.0,Yes,Yes,18,30175.7
1052,Female,Chittagong,36.0,Basic,23801.0,6343.0,10,9.0,Yes,No,30,14000.32
1053,Male,Dhaka,19.0,Basic,37190.0,16500.0,8,10.0,No,No,15,16976.13
1054,Female,Khulna,43.0,Standard,67689.0,,13,10.0,Yes,Yes,27,24335.87
1055,Male,Sylhet,49.0,Basic,68993.0,12662.0,10,1.0,No,Yes,34,15253.85
1056,Female,Rajshahi,23.0,Premium,47592.0,,10,6.0,Yes,Yes,38,23074.25
1057,Female,Sylhet,49.0,Premium,28647.0,11130.0,10,7.0,Yes,Yes,33,19356.72
1058,Male,Sylhet,21.0,Basic,26716.0,22531.0,14,8.0,Yes,No,24,21370.74
1059,Male,Dhaka,28.0,Basic,106891.0,,2,10.0,No,Yes,15,19982.34
1060,Male,Sylhet,34.0,Premium,105545.0,6506.0,3,9.0,Yes,Yes,30,17197.92
1061,Male,,55.0,Premium,,16284.0,9,2.0,Yes,No,42,20382.87
1062,Male,Sylhet,41.0,Standard,88316.0,10253.0,7,10.0,Yes,Yes,17,12936.3
1063,Male,Dhaka,22.0,Premium,20368.0,22128.0,4,2.0,Yes,Yes,5,12060.61
1064,Male,Khulna,51.0,Standard,95575.0,30932.0,10,5.0,No,Yes,29,24949.13
1065,Male,Chittagong,23.0,Standard,24655.0,12435.0,5,5.0,No,Yes,4,10074.27
1066,Female,Sylhet,39.0,Standard,88031.0,47078.0,2,6.0,Yes,Yes,10,29786.36
1067,Female,Dhaka,28.0,Standard,94429.0,16296.0,13,3.0,No,No,17,15038.21
1068,Male,Chittagong,33.0,Standard,109083.0,33445.0,11,8.0,Yes,Yes,10,23869.99
1069,Female,Chittagong,50.0,Basic,105922.0,16245.0,13,1.0,Yes,Yes,17,14488.6
1070,Female,Rajshahi,26.0,Premium,73766.0,32124.0,8,6.0,Yes,Yes,20,24214.15
1071,Female,Khulna,23.0,Standard,31403.0,32899.0,4,4.0,No,Yes,24,23537.93
1072,Female,Sylhet,33.0,Premium,,46919.0,9,1.0,No,Yes,5,25205.48
1073,Male,Dhaka,46.0,Premium,96657.0,46225.0,5,7.0,No,No,34,35029.72
1074,Female,Rajshahi,20.0,Standard,28966.0,38247.0,13,9.0,No,Yes,6,22029.64
