student_id,gender,department,year_of_study,home_city,cgpa,study_hours_per_week,attendance_percent,participates_in_clubs,sleep_hours_per_night,tuition_fee,scholarship,final_grade,letter_grade
A200,Male,Architecture,1,Sylhet,3.61,16.6,85.5,Yes,7.9,35000,None,81,A+
A201,Female,EEE,1,Chittagong,3.32,16.2,75.5,Yes,5.5,30000,Partial,92,A+
A202,Male,Pharmacy,1,Sylhet,3.29,9.5,61.9,No,7.3,35000,Partial,74,A-
A203,Male,Pharmacy,4,Mymensingh,3.38,15.9,67.8,No,6.7,30000,None,91,A+
A204,Male,Architecture,1,Dhaka,3.5,13.4,98.6,Yes,5.4,35000,Partial,96,A+
A205,Female,CSE,1,Mymensingh,2.01,5.2,80.6,No,6.5,35000,None,55,B-
A206,Female,CSE,2,Dhaka,,21.2,88.5,Yes,6.7,40000,Partial,100,A+
A207,Female,Architecture,1,Khulna,2.37,15.9,73.9,Yes,7.7,25000,None,72,A-
A208,Male,BBA,1,Dhaka,3.77,16.2,58.6,No,7.1,35000,None,91,A+
A209,Male,CSE,4,Dhaka,2.58,17.6,90.6,Yes,4.8,40000,None,84,A+
A210,Male,EEE,2,Dhaka,3.01,13.1,82.3,Yes,5.7,35000,None,85,A+
A211,Female,CSE,4,Sylhet,2.57,9.9,81.9,Yes,6.7,35000,Full,72,A-
A212,Male,CSE,2,Dhaka,2.21,14.5,77.8,No,4.9,30000,None,65,B+
A213,Male,CSE,2,Chittagong,3.98,11.7,80,No,7.8,40000,None,84,A+
A214,Female,Architecture,3,Mymensingh,2.4,17.9,81.6,Yes,5.6,40000,Full,88,A+
A215,Male,EEE,1,Dhaka,2.35,10.5,52.5,Yes,5.5,30000,None,56,B-
A216,Male,CSE,3,Rajshahi,3.18,19.2,97.3,No,6.1,40000,Full,83,A+
A217,Male,EEE,2,Chittagong,2.51,6.4,87.2,No,5.3,35000,Partial,65,B+
A218,Male,CSE,1,Dhaka,2.53,16.8,,Yes,5.4,50000,None,76,A
A219,Male,CSE,3,Dhaka,2.47,13.8,75.9,Yes,8.8,50000,None,90,A+
A220,Female,CSE,2,Dhaka,2.87,17.8,54.8,Yes,7,35000,None,70,A-
A221,Female,BBA,2,Dhaka,2.28,18.2,75.5,No,7.4,30000,Partial,73,A-
A222,Female,BBA,4,Rajshahi,2.74,13.7,80.2,Yes,5.7,50000,Full,82,A+
A223,Female,Pharmacy,3,Khulna,,17.5,89.4,No,5.7,40000,Partial,100,A+
A224,Female,CSE,2,Chittagong,3.15,15.4,75.7,No,5,40000,None,78,A
A225,Male,EEE,4,Dhaka,2.95,24.3,72.4,Yes,6.1,25000,None,94,A+
A226,Female,CSE,3,Sylhet,2.8,11.9,,No,7.4,40000,Partial,79,A
A227,Female,EEE,1,Sylhet,3.91,13.7,75.5,No,8.1,40000,Partial,86,A+
A228,Female,Architecture,4,Sylhet,3.42,17.2,,Yes,4.7,40000,Partial,83,A+
A229,Female,Architecture,3,Dhaka,3.17,,82.6,Yes,4,35000,Partial,93,A+
A230,Male,Pharmacy,3,Dhaka,3.36,8.5,79.3,No,7.6,40000,None,74,A-
A231,Male,Pharmacy,2,Chittagong,3.67,6.6,78,No,5.7,35000,None,71,A-
A232,Male,CSE,2,Khulna,3.56,,77,No,7,35000,Partial,88,A+
A233,Female,EEE,2,Chittagong,3.93,11.7,99.9,No,7.3,35000,None,91,A+
A234,Male,Pharmacy,4,Dhaka,3.27,11,61,No,7.9,30000,Partial,79,A
A235,Male,Pharmacy,2,Khulna,3.64,13.3,88.1,No,6.2,30000,Partial,90,A+
A236,Female,BBA,2,Chittagong,2.49,9.9,58.5,No,6.7,30000,None,69,B+
A237,Male,Pharmacy,1,Chittagong,2.78,9,100,Yes,5.4,50000,None,93,A+
A238,Male,Pharmacy,2,Sylhet,3.68,17.5,69.9,No,5.4,30000,None,100,A+
A239,Male,EEE,1,Dhaka,2.47,11.5,75.1,No,6.2,40000,None,72,A-
A240,Male,EEE,1,Chittagong,2.76,14.2,78.4,No,4.6,50000,None,80,A+
A241,Male,CSE,1,Dhaka,2.31,7.3,82.3,No,,35000,Partial,75,A
A242,Female,Pharmacy,2,Dhaka,2.4,11.9,61.9,No,6,40000,None,61,B
A243,Male,EEE,4,Sylhet,2.19,16.3,,No,7.6,30000,None,84,A+
A244,Female,BBA,1,Mymensingh,3.99,7.4,73.5,Yes,7.1,35000,Full,95,A+
A245,Female,EEE,1,Dhaka,,12.6,81.5,Yes,8.4,25000,None,85,A+
A246,Female,CSE,1,Chittagong,3.96,13,100,Yes,6,35000,None,87,A+
A247,Female,Architecture,1,Chittagong,2.6,17.2,65.2,Yes,6.7,25000,None,66,B+
A248,Female,BBA,2,Dhaka,3.06,14.3,92.2,No,7.7,30000,Partial,78,A
A249,Male,Architecture,4,Sylhet,,10.4,98.1,No,7.7,30000,Partial,88,A+
A250,Female,CSE,4,Sylhet,2.46,19.3,83.2,No,5.6,35000,Partial,78,A
A251,Female,Architecture,2,Dhaka,3.58,11.4,,Yes,6.6,40000,None,77,A
A252,Male,CSE,3,Dhaka,3.26,5.9,100,Yes,6.6,30000,Partial,74,A-
A253,Female,CSE,1,Dhaka,2.97,14,92.8,Yes,5.7,30000,None,81,A+
A254,Male,BBA,2,Dhaka,2.4,12.4,69.9,No,,40000,None,75,A
A255,Male,Pharmacy,1,Chittagong,2.82,16.3,76.1,No,5.9,35000,Partial,72,A-
A256,Male,Architecture,2,Dhaka,3.56,13,87.9,No,5.4,30000,Partial,80,A+
A257,Female,Architecture,3,Mymensingh,3.84,15.9,84.2,Yes,6.6,40000,None,89,A+
A258,Female,Architecture,1,Dhaka,2.32,,67.8,Yes,6,30000,None,63,B
A259,Female,BBA,2,Sylhet,2.5,12,72.8,No,7.5,30000,None,78,A
A260,Female,EEE,1,Chittagong,3.8,,92,No,6.9,35000,None,89,A+
A261,Male,CSE,3,Dhaka,3.97,10.6,84.8,Yes,6.8,40000,Full,82,A+
A262,Male,EEE,2,Rajshahi,3.8,18.5,47.2,No,6.8,35000,Partial,88,A+
A263,Male,CSE,2,Dhaka,3.89,6.4,100,No,5.7,30000,Partial,88,A+
A264,Male,BBA,2,Dhaka,2.49,15.3,80.1,No,7.1,35000,None,76,A
A265,Female,BBA,2,Dhaka,2.4,12.2,72.4,No,9,35000,Partial,74,A-
A266,Male,CSE,2,Chittagong,3.24,11.3,74.7,No,5.3,35000,Partial,84,A+
A267,Female,EEE,4,Mymensingh,2.17,15.7,85.1,Yes,6.6,35000,Partial,76,A
A268,Male,Pharmacy,2,Mymensingh,2.03,12.8,65.4,Yes,8.2,25000,None,64,B
A269,Female,BBA,3,Dhaka,3.69,12.5,75.6,No,8.4,40000,Full,81,A+
A270,Female,CSE,1,Sylhet,2.41,20.6,87.5,No,7.3,35000,Partial,87,A+
A271,Male,CSE,4,Khulna,2.71,21.7,88,No,9,30000,None,87,A+
A272,Male,CSE,4,Chittagong,3.81,9.7,68,No,6.2,35000,Partial,87,A+
A273,Female,Pharmacy,1,Sylhet,3.71,13,79.4,No,5.6,40000,None,87,A+
A274,Male,Architecture,4,Dhaka,3.59,8.9,86.7,No,7.8,40000,Partial,80,A+
A275,Male,EEE,1,Dhaka,2.56,8.3,74,No,7.1,25000,Partial,61,B
A276,Female,Architecture,1,Sylhet,3.02,,100,Yes,6.6,30000,None,83,A+
A277,Female,Pharmacy,1,Chittagong,2.3,14.1,91.6,No,,30000,None,77,A
A278,Female,CSE,4,Khulna,3.37,17.2,66.5,Yes,7.2,30000,Partial,86,A+
A279,Male,BBA,3,Chittagong,3.25,,72.1,No,7.8,50000,None,80,A+
